State,Code,Year,Vote,Result
ALABAMA,AL,2008,REPUBLICAN,1
ALASKA,AK,2008,REPUBLICAN,1
ARIZONA,AZ,2008,REPUBLICAN,1
ARKANSAS,AR,2008,REPUBLICAN,1
CALIFORNIA,CA,2008,DEMOCRAT,0
COLORADO,CO,2008,DEMOCRAT,0
CONNECTICUT,CT,2008,DEMOCRAT,0
DELAWARE,DE,2008,DEMOCRAT,0
DISTRICT OF COLUMBIA,DC,2008,DEMOCRAT,0
FLORIDA,FL,2008,DEMOCRAT,0
GEORGIA,GA,2008,REPUBLICAN,1
HAWAII,HI,2008,DEMOCRAT,0
IDAHO,ID,2008,REPUBLICAN,1
ILLINOIS,IL,2008,DEMOCRAT,0
INDIANA,IN,2008,REPUBLICAN,1
IOWA,IA,2008,DEMOCRAT,0
KANSAS,KS,2008,REPUBLICAN,1
KENTUCKY,KY,2008,REPUBLICAN,1
LOUISIANA,LA,2008,REPUBLICAN,1
MAINE,ME,2008,DEMOCRAT,0
MARYLAND,MD,2008,DEMOCRAT,0
MASSACHUSETTS,MA,2008,DEMOCRAT,0
MICHIGAN,MI,2008,DEMOCRAT,0
MINNESOTA,MN,2008,DEMOCRAT,0
MISSISSIPPI,MS,2008,REPUBLICAN,1
MISSOURI,MO,2008,REPUBLICAN,1
MONTANA,MT,2008,REPUBLICAN,1
NEBRASKA,NE,2008,REPUBLICAN,1
NEVADA,NV,2008,DEMOCRAT,0
NEW HAMPSHIRE,NH,2008,DEMOCRAT,0
NEW JERSEY,NJ,2008,DEMOCRAT,0
NEW MEXICO,NM,2008,DEMOCRAT,0
NEW YORK,NY,2008,DEMOCRAT,0
NORTH CAROLINA,NC,2008,REPUBLICAN,1
NORTH DAKOTA,ND,2008,REPUBLICAN,1
OHIO,OH,2008,DEMOCRAT,0
OKLAHOMA,OK,2008,REPUBLICAN,1
OREGON,OR,2008,DEMOCRAT,0
PENNSYLVANIA,PA,2008,DEMOCRAT,0
RHODE ISLAND,RI,2008,DEMOCRAT,0
SOUTH CAROLINA,SC,2008,REPUBLICAN,1
SOUTH DAKOTA,SD,2008,REPUBLICAN,1
TENNESSEE,TN,2008,REPUBLICAN,1
TEXAS,TX,2008,REPUBLICAN,1
UTAH,UT,2008,REPUBLICAN,1
VERMONT,VT,2008,DEMOCRAT,0
VIRGINIA,VA,2008,DEMOCRAT,0
WASHINGTON,WA,2008,DEMOCRAT,0
WEST VIRGINIA,WV,2008,REPUBLICAN,1
WISCONSIN,WI,2008,DEMOCRAT,0
WYOMING,WY,2008,REPUBLICAN,1
ALABAMA,AL,2012,REPUBLICAN,1
ALASKA,AK,2012,REPUBLICAN,1
ARIZONA,AZ,2012,REPUBLICAN,1
ARKANSAS,AR,2012,REPUBLICAN,1
CALIFORNIA,CA,2012,DEMOCRAT,0
COLORADO,CO,2012,DEMOCRAT,0
CONNECTICUT,CT,2012,DEMOCRAT,0
DELAWARE,DE,2012,DEMOCRAT,0
DISTRICT OF COLUMBIA,DC,2012,DEMOCRAT,0
FLORIDA,FL,2012,DEMOCRAT,0
GEORGIA,GA,2012,REPUBLICAN,1
HAWAII,HI,2012,DEMOCRAT,0
IDAHO,ID,2012,REPUBLICAN,1
ILLINOIS,IL,2012,DEMOCRAT,0
INDIANA,IN,2012,DEMOCRAT,0
IOWA,IA,2012,DEMOCRAT,0
KANSAS,KS,2012,REPUBLICAN,1
KENTUCKY,KY,2012,REPUBLICAN,1
LOUISIANA,LA,2012,REPUBLICAN,1
MAINE,ME,2012,DEMOCRAT,0
MARYLAND,MD,2012,DEMOCRAT,0
MASSACHUSETTS,MA,2012,DEMOCRAT,0
MICHIGAN,MI,2012,DEMOCRAT,0
MINNESOTA,MN,2012,DEMOCRAT,0
MISSISSIPPI,MS,2012,REPUBLICAN,1
MISSOURI,MO,2012,REPUBLICAN,1
MONTANA,MT,2012,REPUBLICAN,1
NEBRASKA,NE,2012,REPUBLICAN,1
NEVADA,NV,2012,DEMOCRAT,0
NEW HAMPSHIRE,NH,2012,DEMOCRAT,0
NEW JERSEY,NJ,2012,DEMOCRAT,0
NEW MEXICO,NM,2012,DEMOCRAT,0
NEW YORK,NY,2012,DEMOCRAT,0
NORTH CAROLINA,NC,2012,DEMOCRAT,0
NORTH DAKOTA,ND,2012,REPUBLICAN,1
OHIO,OH,2012,DEMOCRAT,0
OKLAHOMA,OK,2012,REPUBLICAN,1
OREGON,OR,2012,DEMOCRAT,0
PENNSYLVANIA,PA,2012,DEMOCRAT,0
RHODE ISLAND,RI,2012,DEMOCRAT,0
SOUTH CAROLINA,SC,2012,REPUBLICAN,1
SOUTH DAKOTA,SD,2012,REPUBLICAN,1
TENNESSEE,TN,2012,REPUBLICAN,1
TEXAS,TX,2012,REPUBLICAN,1
UTAH,UT,2012,REPUBLICAN,1
VERMONT,VT,2012,DEMOCRAT,0
VIRGINIA,VA,2012,DEMOCRAT,0
WASHINGTON,WA,2012,DEMOCRAT,0
WEST VIRGINIA,WV,2012,REPUBLICAN,1
WISCONSIN,WI,2012,DEMOCRAT,0
WYOMING,WY,2012,REPUBLICAN,1
ALABAMA,AL,2016,REPUBLICAN,1
ALASKA,AK,2016,REPUBLICAN,1
ARIZONA,AZ,2016,REPUBLICAN,1
ARKANSAS,AR,2016,REPUBLICAN,1
CALIFORNIA,CA,2016,DEMOCRAT,0
COLORADO,CO,2016,DEMOCRAT,0
CONNECTICUT,CT,2016,DEMOCRAT,0
DELAWARE,DE,2016,DEMOCRAT,0
DISTRICT OF COLUMBIA,DC,2016,DEMOCRAT,0
FLORIDA,FL,2016,REPUBLICAN,1
GEORGIA,GA,2016,REPUBLICAN,1
HAWAII,HI,2016,DEMOCRAT,0
IDAHO,ID,2016,REPUBLICAN,1
ILLINOIS,IL,2016,DEMOCRAT,0
INDIANA,IN,2016,DEMOCRAT,0
IOWA,IA,2016,REPUBLICAN,1
KANSAS,KS,2016,REPUBLICAN,1
KENTUCKY,KY,2016,REPUBLICAN,1
LOUISIANA,LA,2016,REPUBLICAN,1
MAINE,ME,2016,DEMOCRAT,0
MARYLAND,MD,2016,DEMOCRAT,0
MASSACHUSETTS,MA,2016,DEMOCRAT,0
MICHIGAN,MI,2016,REPUBLICAN,1
MINNESOTA,MN,2016,DEMOCRAT,0
MISSISSIPPI,MS,2016,REPUBLICAN,1
MISSOURI,MO,2016,REPUBLICAN,1
MONTANA,MT,2016,REPUBLICAN,1
NEBRASKA,NE,2016,REPUBLICAN,1
NEVADA,NV,2016,DEMOCRAT,0
NEW HAMPSHIRE,NH,2016,DEMOCRAT,0
NEW JERSEY,NJ,2016,DEMOCRAT,0
NEW MEXICO,NM,2016,DEMOCRAT,0
NEW YORK,NY,2016,DEMOCRAT,0
NORTH CAROLINA,NC,2016,DEMOCRAT,0
NORTH DAKOTA,ND,2016,REPUBLICAN,1
OHIO,OH,2016,REPUBLICAN,1
OKLAHOMA,OK,2016,REPUBLICAN,1
OREGON,OR,2016,DEMOCRAT,0
PENNSYLVANIA,PA,2016,REPUBLICAN,1
RHODE ISLAND,RI,2016,DEMOCRAT,0
SOUTH CAROLINA,SC,2016,REPUBLICAN,1
SOUTH DAKOTA,SD,2016,REPUBLICAN,1
TENNESSEE,TN,2016,REPUBLICAN,1
TEXAS,TX,2016,REPUBLICAN,1
UTAH,UT,2016,REPUBLICAN,1
VERMONT,VT,2016,DEMOCRAT,0
VIRGINIA,VA,2016,DEMOCRAT,0
WASHINGTON,WA,2016,DEMOCRAT,0
WEST VIRGINIA,WV,2016,REPUBLICAN,1
WISCONSIN,WI,2016,REPUBLICAN,1
WYOMING,WY,2016,REPUBLICAN,1
ALABAMA,AL,2020,REPUBLICAN,1
ALASKA,AK,2020,REPUBLICAN,1
ARIZONA,AZ,2020,DEMOCRAT,0
ARKANSAS,AR,2020,REPUBLICAN,1
CALIFORNIA,CA,2020,DEMOCRAT,0
COLORADO,CO,2020,DEMOCRAT,0
CONNECTICUT,CT,2020,DEMOCRAT,0
DELAWARE,DE,2020,DEMOCRAT,0
DISTRICT OF COLUMBIA,DC,2020,DEMOCRAT,0
FLORIDA,FL,2020,REPUBLICAN,1
GEORGIA,GA,2020,DEMOCRAT,0
HAWAII,HI,2020,DEMOCRAT,0
IDAHO,ID,2020,REPUBLICAN,1
ILLINOIS,IL,2020,DEMOCRAT,0
INDIANA,IN,2020,DEMOCRAT,0
IOWA,IA,2020,REPUBLICAN,1
KANSAS,KS,2020,REPUBLICAN,1
KENTUCKY,KY,2020,REPUBLICAN,1
LOUISIANA,LA,2020,REPUBLICAN,1
MAINE,ME,2020,DEMOCRAT,0
MARYLAND,MD,2020,DEMOCRAT,0
MASSACHUSETTS,MA,2020,DEMOCRAT,0
MICHIGAN,MI,2020,DEMOCRAT,0
MINNESOTA,MN,2020,DEMOCRAT,0
MISSISSIPPI,MS,2020,REPUBLICAN,1
MISSOURI,MO,2020,REPUBLICAN,1
MONTANA,MT,2020,REPUBLICAN,1
NEBRASKA,NE,2020,REPUBLICAN,1
NEVADA,NV,2020,DEMOCRAT,0
NEW HAMPSHIRE,NH,2020,DEMOCRAT,0
NEW JERSEY,NJ,2020,DEMOCRAT,0
NEW MEXICO,NM,2020,DEMOCRAT,0
NEW YORK,NY,2020,DEMOCRAT,0
NORTH CAROLINA,NC,2020,DEMOCRAT,0
NORTH DAKOTA,ND,2020,REPUBLICAN,1
OHIO,OH,2020,REPUBLICAN,1
OKLAHOMA,OK,2020,REPUBLICAN,1
OREGON,OR,2020,DEMOCRAT,0
PENNSYLVANIA,PA,2020,DEMOCRAT,0
RHODE ISLAND,RI,2020,DEMOCRAT,0
SOUTH CAROLINA,SC,2020,REPUBLICAN,1
SOUTH DAKOTA,SD,2020,REPUBLICAN,1
TENNESSEE,TN,2020,REPUBLICAN,1
TEXAS,TX,2020,REPUBLICAN,1
UTAH,UT,2020,REPUBLICAN,1
VERMONT,VT,2020,DEMOCRAT,0
VIRGINIA,VA,2020,DEMOCRAT,0
WASHINGTON,WA,2020,DEMOCRAT,0
WEST VIRGINIA,WV,2020,REPUBLICAN,1
WISCONSIN,WI,2020,DEMOCRAT,0
WYOMING,WY,2020,REPUBLICAN,1